comment,label_id,label
May di chet di do an hai xa hoi.,2.0,
"Con lon gia, dung co ma mo mom ra nua.",2.0,
"Thang cho dien, may co bi dao dien khong vay?",2.0,
"Do ngu, hoc mai ma cung khong hieu gi het.",2.0,
"Ban la thang he, dung co ma lam tro cuoi nua.",2.0,
Cai loai nhu may chi lam nhuc gia dinh thoi.,2.0,
"May la do vo dung, chang lam duoc cai quai gi.",2.0,
"Thang mat day, dam lam chuyen do a.",2.0,
"Con di ghe, dung co ma quyen ru dan ong nua.",2.0,
"May la do phe vat, chi biet an bam thoi.",2.0,
"Bon phan dong, cuoi cung cung bi diet tru thoi.",2.0,
"Cai thang khon nan, may se phai tra gia.",2.0,
"Do lon mu, dung co ma lam anh huong den nguoi khac.",2.0,
"May la do di dang, khong ai chap nhan may dau.",2.0,
"Bon ngu dot, chi biet tin vao may cai tin nham nhot.",2.0,
"Thang bien thai, may nen bi bo tu.",2.0,
"Con cho chet, hay bien khoi day ngay lap tuc.",2.0,
"May la do bat tai, khong lam duoc viec gi ra hon.",2.0,
Cai nhom nay toan la lu luu manh.,2.0,
"Dung co ma len mat day, do an hai.",2.0,
"Thang cho dien, noi nham vcl",2.0,
"Con lon gia, lam nhu minh hay lam",2.0,
May la cai loai an hai xa hoi,2.0,
"Bon phan dong, chi biet pha hoai",2.0,
"Cai mat dam, nhin ma muon dap",2.0,
"Thang ngu, noi ra la biet khong co nao roi",2.0,
"May la do vo hoc, vo van hoa",2.0,
"Con dien, keu gao am i ca ngay",2.0,
"Thang an trom, chi biet loi dung nguoi khac",2.0,
Bon suot ngay chi biet chui rua nguoi khac,2.0,
"Con oc cho, khong biet suy nghi gi ca",2.0,
"May la do bien thai, lam tro benh hoan",2.0,
"Thang rac ruoi, nen bien khoi day di",2.0,
"Bon lua dao, chi biet hai nguoi khac",2.0,
"Cai thang mat day, khong co dao duc gi ca",2.0,
"Con cho chet, hay de yen cho nguoi ta lam an",2.0,
"Thang dau buoi, lam gi cung sai",2.0,
"Bon khon nan, chi biet gay roi",2.0,
"Cai con met moi, cu lam kho nguoi khac",2.0,
May la mot sai lam cua tao,2.0,
"bọn mày đúng lũ ngu đần, chả hiểu gì cả",2.0,
cái con phò này lại giở trò gì nữa đây,2.0,
thằng chó chết này đúng là đồ vô dụng,2.0,
lũ mọi rợ này chỉ biết phá hoại,2.0,
"đồ khốn nạn, biến đi cho khuất mắt tao",2.0,
mấy thằng phản động này nên bị xử tử,2.0,
con đĩ này đúng là đồ mặt dày,2.0,
"thằng hèn nhát, dám làm không dám nhận",2.0,
bọn mày đúng là lũ súc vật,2.0,
cái thằng điên này nói linh tinh gì vậy,2.0,
mấy đứa óc chó này chỉ biết nói phét,2.0,
"thằng mặt lồn, nhìn thấy ghét",2.0,
con bitch này đúng là đồ dâm đãng,2.0,
"lũ mọi dợ, cút về rừng đi",2.0,
"thằng ngu, không biết gì thì câm mồm",2.0,
con lợn này ăn hết phần của người khác,2.0,
mấy thằng bợ đít này đúng là hèn hạ,2.0,
"cái đồ ăn hại, chỉ biết làm khổ người khác",2.0,
"thằng khốn nạn, mày sẽ gặp quả báo",2.0,
bọn mày đúng là cái lũ rác rưởi của xã hội,2.0,
mày mù hay sao mà ko thấy đường vậy thằng ngu,2.0,
đúng cái lũ óc chó chỉ biết phá thôi,2.0,
con phò này lại thích làm trò à,2.0,
thằng điên này chắc lại lên cơn rồi,2.0,
nhìn mặt muốn đấm cho phát cái thứ mặt lợn,2.0,
đúng là cái lũ ăn hại chỉ biết báo đời,2.0,
mấy con đĩ này lại giở trò gì đây,2.0,
thằng thiểu năng này chắc chưa uống thuốc,2.0,
cái lũ phản động này nên biến khỏi đất nước đi,2.0,
con lol giả tạo này suốt ngày diễn kịch,2.0,
mày là cái đồ súc vật không bằng con chó,2.0,
cái loại ăn bám này chỉ tổ tốn cơm gạo,2.0,
thằng hèn này chỉ biết núp váy đàn bà,2.0,
"đúng là lũ vô học, không có giáo dục gì cả",2.0,
con dâm đãng này lại khoe thân à,2.0,
mày là đồ ngu dốt không biết gì cả,2.0,
cái lũ chó má này toàn làm chuyện bậy bạ,2.0,
