free_text,label_id
Người có tiếng mặc cái lìn gì chẳng nó Người . bt đẹp bảo là điên,1
idol của tui,0
":) ông viện trưởng khôn quá , nói dứt khoát , quách tử tù này đi có lẽ vì thế mà giờ lão vẫn còn sống",2
Chi oi chi giau thi kê chi khoe cua lam gi,0
tây nó đơn giản lắm . chết dân chủ người có sao vài . đâu vl mà .,2
ko biet chính quyền đang làm cái j như vụ một thanh niên (thôi) xông vào ngân hàng cướp thì có tới trăm cảnh sát bao vây chi v troi ô nao cug muốn ở phưởng cơ quan có ô nào muốn lò mặt ra ngoài để điều tra đâu mà có chắc cug phải cả tháng cả năm cảm thấy xấu hổ vs nhung khách du lịch tới Việt Nam mình,2
Huyền Khánh Phùng chuẩn luôn chị ơi hahaa,0
B52,0
Cai nay dong nao mot chut,0
- cả 2 cũng chỉ thoii như nhau ngu khỏi so sánh :)),2
cs Chó bán nước hại dân .,2
Nó thích để nó ngon yêu cmm luôn chứ bắt m đợi làm lồn gì . Đợi chỉ nào lí do mình nó tìm xem có kèo hơn đã là không thôi,1
Còn đó bị bệnh kém,2
Ai giết dk con linh cá lóc tui ủng hộ 10000 usd,2
Thằng già kia đứng cười chứ : (,2
Mọi người đừng vội dùng từ toang.,0
Đỉnh ghê😀😀,0
Bà này bã chữi gớm giết thiẹt tôi ko ngờ bã là người miền tây luôn xấu hổ,2
trường hợp cai éo ji con này.dm nc éo có logic cc ji bị cả cộng đồng nó chửi cho sml cho cm may lun nghiệp,2
Cô quá trời đẹp rồi 💗💗💗💗,0
Anh độ dễ như phò ấy : 3,2
"Bảo quản không đúng quy trình , còn đi kiện họ . Phạt cho thấy mẹ ra . Thử hỏi mua nước về , để trong khó nhiệt dô quá cao , độ ẩm quá lớn thì hỏi chất lượng nào chiệu nổi . "" Thông minh tý đi bà con ơi """,2
"Hien Tran Ngoc Bich , Hiep Tranhoa xem có bó tay không nè trời .",1
Quả donate đi vào huyền thoại =)),0
đở dc ),1
Thủ tướng lương nghe bảo tầm 15 tr 1 tháng .. 10 Căn nhà .. Căn cấp 4 xây sơ xài ở quê giờ cũng 300 tr là ít . 10 căn cho 3 tỷ Đi . Lương thủ tướng 1 năm 180 tr . Cho là ông ta không xài gì Đi vì nhà xe . Cơm nước đảng lo .. Vậy chắc phải làm thủ tướng gần,2
Tiền của TAO. Phắc!,1
Cũng đã đến lúc những người làm công tác bảo vệ an ninh . các khu phố cần vào cuộc . Vì hình ảnh của đất nước không để mấy lưu manh làm mặt được,2
"Có vừa đâu mà khóc lóc , nước mắt giả tạo như nước hoa vậy đó",1
chặt cuu,1
"Da anh đen nhưng lòng anh trắng😁, anh đi phơi nắng nên da anh đen 😂",0
Tại sao lại đến mức độ này? Chắc hẳn ai cũng biết,0
"Còn mày có con cũng ngu lắm , đẻ con ra cẩn thận đó",2
Ờ,0
........... Tởm,1
phải cách ly chứ đâu Đi đi du lịch 😉,1
Cô ơi không chừng cô ba vàng ngọc giựt dây trần đoàn đó cô.không chừng cô lên tv bà vàng mã tức nên thuê người chửi cô,0
"Như con cặc ,",1
T k thích k ưa mẹ này.... Mà dx cái chưit ngta nghe hài vcl bù lại củng đỡ 😂😂,2
trăm cần kí 1 cái là bự cả Chỉ tỉ mà bụng phải đi tù thì tội j ko làm một - a éo đc cho biết,2
đc cái hay là xl 😆,1
"Không hiểu mấy anh, mấy chị vào bảo sống chậm thôi chi vậy??",0
"Hóng bò đỏ vào sủa ""đất nước mình còn nghèo""",2
Thịt chó đây này mấy bố ạ,0
Năm sau đến 2 k2 rồi sau năm nữa là 2 k3 rồi đến 2 k4 ờ tiếp tục là 2 k5 2 2 k7 đcm vailon :)),1
triết lí một công đôi dm,1
Em nói là anh ở nhà Hưng Khánh . Hông cod đi đâu hết.,0
cũng có lý,0
Phạm Văn Đại đjs :v,2
Thầy ba said:,0
"xem công an và báo nó rãnh hơn nè ! thông báo người ta lên kiểm tra xe mang theo giấy tờ nhưng mà toàn bộ xe giữ chả có thông tin gì .... vậy mà cũng tốn mấy trang báo để đăng ! ... nói khờ thì kỳ nhưng chắc vậy gọi là "" đúng quy trình "" nhỉ !",2
"mà t cũng đ ' hiểu , rõ ràng là bọn quan nó cũng dùng nước mà ? Hay bọn nó có nguồn nước riêng nên kệ mẹ dân ? ? ?",2
Nguyễn Phan Hoài Ninh ai kêu gáy sớm giờ khỏi có cơm ăn:)),0
Có đéo đâu chỉ khoe của người khác thì làm cái lồn què gì,2
Ca sĩ k-icm đéo gì câm ca sĩ 🙂,2
Nguyễn Ngọc Phương nó ảo thì thôi mà xui thì xui vô đối,0
Làm nhẹ 3-0 cho nó ok,0
Chịu á =)))),0
"cười xỉu lun má ơi,,, cô có duyên quá, like cho cô",0
"Thiếu ! Ý thức của người VN quá yếu và quá kém . Giờ giấc cao su , cha chung ko ai khóc , thiếu tinh thần hợp tác ...",2
Sao về lắm thế nhỉ,0
cho em hỏi chị 3 báo nhiều tuổi  vậy? sao nhìn chị đẹp  quá vậy. kg ninh bo nha.kg xin tiền a nha,0
"Nhưng cũng chỉ vì ở một số cá nhân làm mà cung không đủ nuôi sống gia đình nên phải làm mãi cho đến khi các em, các con trưởng thành .ở một góc độ không nhìn được đa diện đâu (ý kiếm riêng)",0
k thua mà lại đứng trog nhóm nước đang phát triển =))),0
nhìn Nguyễn Quốc An như con đười ươi,2
Bắt cô lại ko cho đi,0
Ong nay chac co van de roi,0
Fb a tống hạo linh e,0
Chi ba noi va hay.song k njh bo ai het.co sao noi vay chi la ok,0
Tao đệ Ba Gà :)),0
Dương Thái Phước ba gà not ba chó@@,2
Lam Pham Ai Chau add em dí sis ơi,0
Cười xỉu luôn,0
Tìm mọc râu mới thấy cmt anh,0
Deoooo nhaa thầy 😚😚,2
Phán câu vãi mắc địt nghe loz,1
Chỉ mong thủ tướng chính phủ phạt nặng những con người vô ý thức.và cách li tất cả những con người đi máy bay và đặt chân xuống sân bay việt nam. Đặc biệt phải cách li tất cả người anh.,0
Anh Trung Magic,0
Đúng là con trai của bố :)),0
Cai vu veadan cung the thoi. Dit cmcm um xum len dc cai cc j,1
"Khau khong chi doc Ma con ac , day la tinh cach cua con nguoi hay Sao , , ? ? ?",1
Nhưng cái thứ dóc láo dù đem cả gia tài ko hay là sạo ) cũng méo ai chứng đức cko,2
Cmn chổ đúng Lag,1
Troi oi...cuoi xiu luon,0
khựa đục nước,2
đấm gãy Bị cmn răng,1
Hằng Bắp mình ăn thịt mà. Có ăn rau mấy đâu,0
Hau Nguyen rảnh loz hả bà nội,2
"@Been 93 Nguyễn tao theo dõi Linda từ 2013 tới bây giờ rồi chứ không phải mới đây mà biết hay không biết, tụi nó cmt ít có xàm lồn quá nên bị chửi là vừa, rồi nói cmt khen mà cũng bị  chửi là do tụi nó cmt khen trên đầu trên cổ người ta đm ai không chửi",2
Trần Dần đã đạt cảnh giới cao nhất của thần quyền là ... thần kinh,2
Tại thằng dân... Cái j cũng tại dân đmcs chứ t đóng thuế nuôi chúng m bú C nhau à,2
Biết thế là đc r . Dẫu sao cũng nhắc nhở a e là . Đọc thôi cái gì cần nói hãy nói . Cái thằng admin kia nó k hiểu vđề gì phán ng này là chó ng kia là chó . Nó lại hiểu đc tiếng chó : - ? ...,2
Hồ Khang đmm. Ý kiến của m như l ý.,2
"Nói bình dân dễ cướp mà còn mang huy hiệu thì phải tin nó , không tin nó thì như đứng về phía thế lực thù địch tức là thân địch chống Đảng rồi vì Đảng không có thói quen làm từ thiện chỉ thích nhảy Vào Vớ Vét Về thôi nhé .",2
Cái loz chị Ba có rắn Kim cương hok..,2
ấu dâm bốc phốt lz hèn dì cô phương linh vãi =))),1
"Vãi lồn , từ 2009 tới 2013 mới bắt đầu chạy qc mà nói live bán 10 năm 😀 có xạo lồn không",1
Được của ló thank thầy,0
không ll cát cái,1
"Xóa bài là đúng thôi , ( thì các ông lãnh đạo lôi cái ra ) có quỹ xóa đói giảm nghèo có mà",2
gáy là tốt đến từ tooc trưởng mixi,0
t ở trong ngõ 82 luôn mà chưa bh gặp =))),0
Đm Ad m óc cức lắm...Đm người ta khổ chứ Đéo rãnh lên đăng ba cái tào lao như m đâu...m cho người ta đc đồng xu cắt bạc nào chưa...ở đây xạo lồn...mẹ m sinh cái tay m ra trước hay sao m ngu v,2
Ngứa hết cả cặc,1
"Đừng nghe sai nói , không nhìn cộng sản làm muôn đời vẫn hãy cộng sản !",2
Đc huy hiệu đó để làm gì vậy ae,0
:)),0
"thằng ad k muốn nó ra đấy mà , rõ khổ",2
Cái này nghiệp quá anh iu á 🤬 🤬 🤬 🤬,2
Thoại Trần chính tã là chính gì,0
834659597,0
"cái này bọn khựa 3 hay bọn tàu làm ấy nhỉ : ,",2
Loại đậy mât,1
Hải Hải =))),0
20-10 vui vẻ con bóng sadec:)),0
Sếp nhà ngta không bao giờ làm tôi thất vọng,0
"Lúc trước không biết page nào có share cmt các thứ , ông thầy nói chuyện ngu vl . Đang tranh luận thì xóa cmt , xong bảo nó phát ngôn bừa bãi , tag người này người khác vào làm chứng để lập biên bản . Trong khi mọi người hỏi nó nói gì thì kêu nó nói bậy nên xóa cmt , chưa kịp chụp ảnh . : v",2
Gà Rừng kí hiệu im lặng,0
Chỉ chịch thôi giao xã =)))),1
"Ai ko biết nhục thì có thể cười thật tươi cũng được, đó cũng là 1 cách giải quyết khó khăn :)))))",1
Ngày xưa chơi ma tuý trốn như chó giờ chơi ma tuý phải khoe ra cho thiên hạ biết là mình chơi ma tuý nó mới đẳng cấp.,1
BaroiBeo X tieu tieu,0
Paula Lưu Cua đéo 😀 động vật à bạn ei phải ? ? ? ?,1
Điên .,1
Thúy Nhi Hieu Nguyen Phạm Khánh Trung mai mốt đừng kể chuyện cười cho Hảo Hảo nghe nha,0
đang cần tiền ai với ở đâu mướn đi biểu tình chỉ em biết,1
May chi em.xinh s xac,0
"Địt suốt ngày mị dân , nâng bi tự sướng",2
Adidaphat mong bác đc siêu thoát Adidaphat,0
Jaha,0
Chết gòi abe mẹ,2
Thấy ngta chỉ trích bắt đầu đổi giọng . Kịch bản là đây ! 😑,1
Xứ sở thiên đường ...,0
Lộc Phát cúttttttttt ⛏ ⛏ 🔪 🔪,1
...,1
Máy má nc ...ghê,0
tinh thần ko sợ vợ,0
"đéo làm được con cặc gì ngồi múa phím suy diễn đm bây , làm được cái gì như người ta rồi hãy nói loại ghen ăn tức ở",2
Tôi không tin này là con người đâu .,2
