annotation_id,annotator,comment,created_at,id,lead_time,name,sentiment,updated_at
593,1,Sờ tóc thích nhờ,2025-11-20T02:29:41.323522Z,501,4.443,Đồ Thờ Quảng Ngãi,CLEAN,2025-11-20T02:29:41.323522Z
594,1,🥰 tuyệt vời,2025-11-20T02:29:45.265811Z,502,3.433,Bùi Phước,CLEAN,2025-11-20T02:29:45.265811Z
595,1,Khoe bưởi à,2025-11-20T02:29:55.401228Z,503,9.386,Nguyễn Thành,CLEAN,2025-11-20T02:29:55.401228Z
596,1,Cẩn thận k nổ😍,2025-11-20T02:29:57.652901Z,504,1.896,Chủ Tịt Xóm,CLEAN,2025-11-20T02:29:57.652901Z
597,1,Vật vã lắm thôi,2025-11-20T02:30:00.936349Z,505,2.837,Biên Đức,CLEAN,2025-11-20T02:30:00.936349Z
598,1,Cố ý làm rơi lượt vào,2025-11-20T02:30:04.787700Z,506,3.14,Hưng Nguyễn,CLEAN,2025-11-20T02:30:04.787700Z
599,1,Đồi núi không mà nói nhẹ nhàng,2025-11-20T02:30:08.268055Z,507,1.704,Nguyễn Tịnh,CLEAN,2025-11-20T02:30:08.268055Z
600,1,Hàng giả thôi thật sao mà to thế được,2025-11-20T02:30:11.990078Z,508,3.312,Minh Hoan,CLEAN,2025-11-20T02:30:11.990078Z
601,1,Giờ mới biết tại sau bưởi tự nhiên mắc quá trời.,2025-11-20T02:30:15.291318Z,509,1.886,Tong Huu Nguyen,CLEAN,2025-11-20T02:30:15.291318Z
602,1,Tuyển toàn những người đẹp,2025-11-20T02:30:17.103704Z,510,1.401,Trần Xuân Hiệp,,2025-11-20T02:30:17.103704Z
603,1,Ngon quá,2025-11-20T02:30:19.783648Z,511,1.08,Tám Ngón,CLEAN,2025-11-20T02:30:19.783648Z
604,1,Sức nặng k phải dạng vừa,2025-11-20T02:30:23.300580Z,512,1.104,Nguyễn Thanh Tùng,CLEAN,2025-11-20T02:30:23.300580Z
605,1,nhìn thôi đã thấy nặng rồi mà đòi nhẹ nhàng :)),2025-11-20T02:30:24.923331Z,513,1.313,Đông Hê,CLEAN,2025-11-20T02:30:24.923331Z
606,1,Nhẹ nhàng lsao dc,2025-11-20T02:30:26.625547Z,514,1.303,Hải Louis,CLEAN,2025-11-20T02:30:26.625547Z
607,1,Phải tôi chịu ko làm đc 😝,2025-11-20T02:30:28.088701Z,515,1.005,Xuân Sơn,CLEAN,2025-11-20T02:30:28.088701Z
608,1,Núi đẹp nhất e rồi đấy,2025-11-20T02:30:29.705884Z,516,1.24,Vinh Ngyen,CLEAN,2025-11-20T02:30:29.705884Z
609,1,Rực rỡ quá bạn,2025-11-20T02:30:31.004205Z,517,0.916,Thắng Bắc Ninh,CLEAN,2025-11-20T02:30:31.004205Z
610,1,T thấy chồng t like vid này,2025-11-20T02:30:32.253751Z,518,0.957,Lương Thị Tân Tỵ,CLEAN,2025-11-20T02:30:32.253751Z
611,1,Chỗ tao tên xuyến s cam 1.7 tr đio,2025-11-20T02:30:35.618838Z,519,3.03,Khó Khăn Online,CLEAN,2025-11-20T02:30:35.618838Z
612,1,Lm tóc gì gọi vốn là chunhs,2025-11-20T02:30:37.038990Z,520,1.119,Quốc An,CLEAN,2025-11-20T02:30:37.038990Z
613,1,moá nó thèm sữa,2025-11-20T02:30:38.285151Z,521,0.882,Nguyễn Văn Huy,CLEAN,2025-11-20T02:30:38.285151Z
614,1,"Như vậy thì ngày nào cũng nặng hết, nhẹ chổ nào đâu",2025-11-20T02:30:40.535646Z,522,1.798,Phạm Thanh Tuấn,CLEAN,2025-11-20T02:30:40.535646Z
615,1,Chỉ bt ngắm nhìn,2025-11-20T02:30:43.812281Z,523,1.248,Sử Vàng,CLEAN,2025-11-20T02:30:43.812281Z
616,1,Gánh nặng của anh thợ,2025-11-20T02:30:45.934728Z,524,1.761,Phạm Thanh Tùng,CLEAN,2025-11-20T02:30:45.934728Z
617,1,Sangg Sangg 😂😂😂😂,2025-11-20T02:30:47.336598Z,525,0.957,Hoàng Nguyễn Đình,CLEAN,2025-11-20T02:30:47.336598Z
618,1,Tiệm cắt tóc ở đâu vậy ạ,2025-11-20T02:30:50.797119Z,526,0.842,Đăng Nguyên,CLEAN,2025-11-20T02:30:50.797119Z
619,1,50k xuat trong quện tạm 🥹,2025-11-20T02:30:54.253710Z,527,3.079,Choè Làm,OFFENSIVE,2025-11-20T02:30:54.253710Z
620,1,Đẹp vãi,2025-11-20T02:30:58.949234Z,528,1.913,Cuong Kpa,CLEAN,2025-11-20T02:30:58.949234Z
621,1,A thợ tóc,2025-11-20T02:31:00.630761Z,529,1.241,Văn Tèo,CLEAN,2025-11-20T02:31:00.630761Z
622,1,Đi gọi vốn à🤣😂🤣🤣,2025-11-20T02:31:03.553818Z,530,2.511,Trần Huy,CLEAN,2025-11-20T02:31:03.553818Z
623,1,Thế Annh mới sáng sớm ra mà thấy mệt mỏi rồi,2025-11-20T02:31:05.486113Z,531,1.473,Ba Bao,CLEAN,2025-11-20T02:31:05.486113Z
