clean_text,label_name,pred_name
đừng cố biện_minh = ) choi lon,Clean,Hate
haizz . nthe này thì dân khổ quá,Offensive,Hate
mua em hộp bcs mĩ sài oai : ) ),Clean,Hate
coin card : 3,Offensive,Clean
cái gì thế : ) ),Clean,Hate
lê văn quật xin vid ông,Clean,Hate
"lý khùng thì , kk",Clean,Offensive
set đồ để các vận_động_viên ăn tết sau vff quản_lý tiền thưởng,Clean,Offensive
thay ngu,Hate,Offensive
amen ông vẫn khỏe_idol tui,Clean,Offensive
chị ba gia_thế giàu chị ơi em khổ quá chị ba ơi giúp em đi chị sài tiền mà tiệm vàng sài không bằng chị,Clean,Hate
( y ) page này ad nó kiến_thức uyên sâu lắm từ xây_dựng tài_chính y_tế cái gì nó cũng am_hiểu = ) ngu_dốt + nhiệt_tình = phá_hoại không sai bh,Hate,Offensive
"đề_nghị 17 , 22,23,32 đến phà vài hơi vào mẹt tk này để nó đi cách_ly thế_giới hẳn đi .",Hate,Offensive
"nhà xa trường_học , nhà gần cầu_tiêu câu nói gắn sâu vào đầu tao : )",Clean,Hate
a kể chuyện nó lại hay vl 😂,Clean,Offensive
from bình phước < 3,Clean,Hate
mong thầy chỉ đóng mv thôi : vậy,Clean,Hate
tấu hài 😂 😂,Clean,Offensive
trần linh dell hiểu kiểu gì : ) ),Offensive,Clean
alex dương thiệt luôn 😤,Clean,Offensive
chán thực_sự = ),Clean,Offensive
lê khánh an kệ ng ta việc nhà mik giữ top 🙂,Clean,Offensive
hanh viet hết cái bọn cực_kì thuyết_phục bây_giờ lại đến bọn : “ ở nhà giúp mẹ giúp cha . “ xàm lol như nhau cả thôi,Hate,Offensive
yêu thầy nhiều,Clean,Hate
sói said : “ daddy finger where are you ? ” “ here i am ! “ = ) ),Clean,Offensive
nguyễn thị thủy chó con chứ dúi đâu ra,Clean,Hate
buồn_cười,Clean,Offensive
giống : vậy,Clean,Offensive
co ba oi co giau lam vay co giup nhung nguoi kho giong nku tui con di_co,Clean,Hate
nguyễn thị tươi_thắm đó bạn,Clean,Hate
thích nhất bài chiếc khăn gió ấm 🌬,Clean,Offensive
lkc tập này xinh thực_sự .,Clean,Offensive
sela kit clear petland phụ_đạo để abe làm hết 😎,Clean,Hate
nguyễn ngọc linh xét_nghiệm mất 10 tiếng mới kp . ai rảnh để xếp_hàng đợi 10 tiếng mới được hiến máu đâu,Clean,Hate
toàn thánh phán,Clean,Offensive
"chi bà nhiều tiền thì đi làm từ_thiện , còn ơ đó nói_tục tiểu , giơ bẩn . làm_nhục người vn trên thế_giới . làm bai hoại nền văn_hóa vn . xin yêu các cấp thẩm_quyền vào_cuộc sử lý .",Clean,Offensive
một phút bóc đồng_bằng cả đời bóc cức 😂,Offensive,Clean
tết đi sắm đồ tết,Clean,Offensive
éo thích thì biến đi thọc con mắt chóng cái tai lên xem làm ghì,Offensive,Hate
sếp ở đâu vậy ? !,Clean,Offensive
ôi bố cái lũ thanh_niên hãm lol . đẹp_mặt quá 😒 😒,Hate,Offensive
duy_linh mình ra sân_bay đi mà gặp 10 thằng tây thì chỉ 2 người tây chiệu đeo khẩu_trang thôi 😂,Clean,Offensive
cây_bút đẹp vl,Clean,Hate
mấy ông sống nhanh thế = ),Clean,Offensive
mặt chị nhìn sợ hơn mặt ông kia á 😞,Clean,Offensive
trước_sau gì cũng đi theo phúc xạo lol,Hate,Clean
theo trung cộng đi rồi đến lúc không còn lợi_dụng được bà sẽ thấy cảnh . hãy nhớ câu đừng nghe những gì cs nói mà . . 😂,Hate,Clean
"riết thằng ad chửi nhảm quá , cp1 gì thì chửi bệnh_viện . lôi cả cái đất_nước vào làm gì : ) )",Hate,Offensive
tao bó_tay . : vậy,Clean,Hate
tết hay không quan_trọng nhất vẫn do anh thợ cắt tóc tò phạm : ) ),Clean,Offensive
gần đất xa trời rồi nói ít thôi,Clean,Offensive
ủa hỏi minh hiếu gái thiệt hay_là từ trai sang gái ? tại hỏng biết,Clean,Offensive
cái gì nó thật tại_sao mình đàn_ông biến thành đan bà,Clean,Offensive
"replay thấy mắc mệt , vote đổi ông edit",Clean,Offensive
nghèo_khổ nhau còn giàu thì sao nhỉ .,Clean,Hate
chao anh,Clean,Offensive
cực_kỳ thuyết_phục 🙂,Clean,Offensive
nhìn mặt bà này .,Clean,Offensive
chửi đáo_để thật !,Clean,Offensive
