clean_text,label_name_true,label_name_pred
coin card : 3,Clean,Offensive
cái gì thế : ) ),Clean,Offensive
được đấy abe,Clean,Hate
chán thực_sự = ),Offensive,Hate
hanh viet hết cái bọn cực_kì thuyết_phục bây_giờ lại đến bọn : “ ở nhà giúp mẹ giúp cha . “ xàm lol như nhau cả thôi,Hate,Clean
sói said : “ daddy finger where are you ? ” “ here i am ! “ = ) ),Clean,Hate
buồn_cười,Offensive,Clean
ai hiểu lắm anh dạ nói em nghe em nói với người đó giùm,Clean,Hate
toàn thánh phán,Clean,Hate
éo thích thì biến đi thọc con mắt chóng cái tai lên xem làm ghì,Offensive,Hate
cây_bút đẹp vl,Clean,Hate
trước_sau gì cũng đi theo phúc xạo lol,Clean,Hate
nặc na tao cũng không bình thường nữa 😁,Offensive,Hate
chúc_mừng idol : ) ),Clean,Offensive
cực_kỳ thuyết_phục 🙂,Clean,Hate
chửi đáo_để thật !,Clean,Offensive
đệ anh độ toàn sống về đêm,Offensive,Clean
gấu_trắng nó,Hate,Offensive
minh hoàng nuôi cá trồng rau rồi ai live xem 😂 😂,Offensive,Clean
sống chậm thôi !,Clean,Hate
"với những trường_hợp trốn cách_ly cứ phạt tù nặng mới sợ , đùa sức_khoẻ bản_thân rồi chẳng may lây_lan ra ngoài lúc đó xin_lỗi cũng chả ai chấp_nhận đâu",Clean,Offensive
lờ ô lờ ôn lờ ôn lôn huyền chim : ) ),Offensive,Clean
con bóng ? ?,Offensive,Clean
"mình đừng nói xạo nói_láo nv chị không thích z , vì chị chúa nói xạo rồi",Offensive,Clean
trai hay gái ?,Hate,Clean
"nó học cách thằng anh nó đó , hèn , khốn_nạn",Clean,Hate
cái mặt con bò biểu_cảm_vãi haha . đhs tự_nhiên thèm thịt bò khô,Clean,Offensive
hôm_qua em ngủ mơ thầy lập kênh mới 🙂,Offensive,Clean
cô nói_chuyện cưng quá à,Hate,Clean
giờ nhìn sang quá .,Clean,Offensive
like 10 năm chất liek bằng đầu bùi,Clean,Hate
xin video vs,Clean,Hate
không csgt nào tốt cả .,Hate,Clean
như lol anh ba,Offensive,Clean
ủa tao người tương_lai à 🙂,Clean,Hate
cà_khịa anh tôi nhanh : vậy,Hate,Offensive
con nay chat kiep sau no moi thay doi tinh . no khong con thuoc chua roi . con corona virut cang no no benh chet di . dong_ho ba doi nha no bi benh corona virut no biet the nao la dau kho .,Offensive,Hate
đọc xuyên câu không suy_nghĩ thử xem . . rất ngộ_nghĩnh 😳 💕,Clean,Offensive
họ nhìn con này sao họ mới gọi nói như vậy người không giá_trị,Clean,Hate
cái giá sự trưởng_thành,Clean,Hate
hời đất cơi cô đẹp quá cô ơi,Offensive,Clean
không nghìn nào giúp dân thì nín đi !,Clean,Hate
"dân không giàu nhé , chỉ nó nước mạnh thôi .",Clean,Hate
cô ba dẹp gái qua ha 🤩 🥰,Offensive,Hate
muốn đẻ đứa như tùng sói vậy á 😆 ❤ ❤,Offensive,Hate
thiên_anh,Clean,Hate
nguc em hoi nho,Clean,Hate
nguyễn thị linh_chi văn thắng về đi 2 bạn : ) ),Clean,Hate
cám_ơn thầy ạ,Offensive,Clean
"anh tiệp chất quá khác hẳn lúc viện , hơi xập xệ : )",Hate,Clean
kinh đấy,Offensive,Hate
chị đẹp quá chị ơi . nhìn giống quý ba cáo sáng wa,Clean,Offensive
nghệ_sỹ hài hải ngoại được nhiều bạn trẻ nước mếm mộ nhất,Hate,Offensive
rãnh đít đây .,Hate,Clean
e ít lúa đi chị,Clean,Hate
"may quá tưởng bác toang rồi cơ , giữ sức_khỏe mà tấu hài chúng cháu nghe bác nhé 😀",Clean,Hate
mình thoát gầy nhờ gg,Clean,Offensive
rất ủng_hộ page nhật_ký yêu nước . .,Clean,Hate
a độ dạo này đăng miết thế 😅,Clean,Hate
chúc_mừng a3 = ) ),Clean,Offensive
@ lucky lucky sao bạn bình thường bạn nghe mik ns coi,Clean,Offensive
chụp cái góc từ chân lên phải hơn không 😞,Offensive,Hate
khổ nông_dân quá .,Hate,Offensive
"ở minh bi được vao vien khám , con ở bọn nc thấy bao_la phat triẻn thi ve_nha tự cách_ly",Clean,Offensive
thích quảng_cáo không : ),Clean,Offensive
vui_vẻ nha_😬,Clean,Hate
đẹp zai đúng chất anh tôi,Clean,Offensive
nơi nào mà cũng được như thế thì có_lý_do gì mà con đân việt nam phải sang nước_ngoài sống .,Hate,Offensive
cô người miền tây hả cô,Clean,Offensive
diệp bích ái nguyễn ái băng coi diệp nó láo cá nè băng 🤣,Clean,Offensive
90tr dân việt_nam đang vả nhung nè,Clean,Offensive
"chống mũi bao , nhiêu vậy",Clean,Offensive
"khánh hồng nguyễn thiều my nguyễn hà duy đăng \ "" đợi đấy \ "" : )",Clean,Offensive
tuan tran quoc có_thể chứ . vn mad,Clean,Hate
"thế_là tự các ông suy ra chữ thiên_đường , tự nhét chữ vào mồm chứ đảng không nói đúng không",Clean,Offensive
đúng chửi,Clean,Hate
ba cát lượng mới_phải chứ thầy,Clean,Offensive
"cs miệng đít chúng một chỗ . một chế_độ thổ_tả không còn sửa_sai được nữa , mà phải thay_đổi với một chế_độ khác . sống với cs mà không biết gì về thủ_đoạn bọn chúng không cái đầu .",Clean,Offensive
làm đồ vỡ tí cũng up fb sen làm lố quá nha_h,Clean,Offensive
minh hiếu nói chốt đơn chốt đơn do cj minh hiếu nói phong long mà chứ đâu nói cj trần đoàn đâu ? ?,Offensive,Clean
thầy bình_luận thêm điệu cười đáng yêu thầy nữa vào : ) ),Offensive,Hate
thầy tao đó,Hate,Offensive
mình không đồng í vs bạn trung,Clean,Hate
chậm thôi mấy anh ơi . em mới bấm cái tym đầu_tiên chưa kịp chụp nx 😞,Clean,Hate
éc nghe nói ai tiếp_xúc với 2 người tây đều cách_ly mak . sao giờ lộ ra nv siêu_thị điện_máy xanh vậy trời . lơ_là rồi 🙈,Hate,Clean
co tien dug nen khoe nha_ma co ngay troi không do dau co ngay_di_an majk nha_má,Offensive,Clean
ai theo đạo râu xồm thì giơ tay ? hãy theo minh giáo_chủ sẽ được lên thiên_đường xhcn !,Hate,Offensive
chi de thương,Hate,Clean
"ae thấy hay thì xin 1 đăng_ký kênh ạ , cảm_ơn",Clean,Offensive
vẫn không chừa được những lời_nói thô_tục,Clean,Hate
cái áo sọc mặc hoài vậy thầy,Clean,Offensive
huy quang ghê nhờ 🙂,Clean,Hate
không đáng bao_nhiêu mà nhục sinh_viên việt_nam bị nó khinh !,Clean,Hate
dân lo mà sợ gì chơi tới đi mấy bác,Clean,Offensive
co . hieu . oi . hoang . canh . con . kho . khan . qua . co . oi . giup . con . voi . co . oi . con . noi . thuc . su . la . nha . con . khong . co . gao . an . luon . do . co . oi . con . noi . thiet . la . nha . con . khong . biet . chung . nao . xap . nua . do . co . co . long . hao . tam . co . giup . con . voi . co . oi . co . hieu . oi . sdt . cua . con . ne . co . oi . 0369546059 . do . co . con . o . ap3xatanhoitrunghuyencaolanhtinhdongthap . do . co . con . noi . thiet . do . co . oi . giup . gium . con . voi . con . kho . wa . co . oi,Clean,Hate
bắn chet moe abe h,Clean,Offensive
tiền nhiều để làm gì,Clean,Offensive
nhớ quay vlog bố con nhà sói về thăm bác lý anh nhé : ) ),Hate,Offensive
tủnn tủnn đú vô cùng luôn = ) ),Hate,Offensive
út tuyền tự nghỉ nổi hk,Clean,Offensive
"chat la kiep truoc bi cam , 🙏 toi ngiep mu nay qua không biet kiep sao thanh loai gi nua 🙏",Clean,Offensive
việt nam đâu khác : 3,Hate,Clean
mùa đại_dịch mà xem clip này tinh_thần phấn_chấn liền,Hate,Clean
đức tân oce b ạ . bọn mình chỉ muốn bạn 1 cách nhìn_nhận 1 cách tốt_đẹp về anh thoi ạ . bọn mình fan nên bọn mình sẽ phát cáu khi ai làm gì idol mình ấy . mong b thông_cảm_nè . tks b đọc cmt mình,Clean,Offensive
"chị_em nào “ đến tháng ” mà đau bụng dữ_dội , đau trời long đất lở , đau héo_mòn thân_xác . ib em để hết đau mãi_mãi luôn nhé . 💕 💕",Hate,Offensive
nguyễnn giangg yep,Clean,Hate
"ý_thức người văn_minh khác , cao chót_vót đéo với nổi .",Offensive,Clean
