"name","comment"
"thongmai03","Mang mũ cối sang đó bảo là bản sắc dân tộc- thưa với các ông là nên thể hiện ý thức văn minh khi ở bên đó mới là bản sắc dân tộc nhé,Đội mũ cối sang Nhật ,đấy là hình ảnh của các bạn học sinh của tôi ^^ .Cố gắng lên nhé các chàng trai ! Quê hương luôn trong tim mỗi chúng ta ..."
"thangthai691","nhìn cái mũ cối là biết dân mô rồi chưa cần phải hỏi😅😅😅😅😅,Đội mũ cối sang Nhật ,đấy là hình ảnh của các bạn học sinh của tôi ^^ .Cố gắng lên nhé các chàng trai ! Quê hương luôn trong tim mỗi chúng ta ..."
"le_viet_ha","đặc trưng của nghệ an. tự hào quá,Đội mũ cối sang Nhật ,đấy là hình ảnh của các bạn học sinh của tôi ^^ .Cố gắng lên nhé các chàng trai ! Quê hương luôn trong tim mỗi chúng ta ..."
"bamboosince1992","Biết là các bạn yêu đất nước mình cũng chân trọng nhưng nói thật mặc véc đội mũ cối nhìn nó hơi lôi thôi . Cái gì nó ra cái đấy 🥺🥺,Đội mũ cối sang Nhật ,đấy là hình ảnh của các bạn học sinh của tôi ^^ .Cố gắng lên nhé các chàng trai ! Quê hương luôn trong tim mỗi chúng ta ..."
"ducdoanh9","ở đâu chả đội mũ cối,Đội mũ cối sang Nhật ,đấy là hình ảnh của các bạn học sinh của tôi ^^ .Cố gắng lên nhé các chàng trai ! Quê hương luôn trong tim mỗi chúng ta ..."
"carobungbeo","chỉ có vùng miền các bạn đội nón mũ cội đi học hoặc làm thuê xứ người thôi, đừng đại diện cả nước,Đội mũ cối sang Nhật ,đấy là hình ảnh của các bạn học sinh của tôi ^^ .Cố gắng lên nhé các chàng trai ! Quê hương luôn trong tim mỗi chúng ta ..."
"_huy91_fa","nhìn biết làm thuê,Đội mũ cối sang Nhật ,đấy là hình ảnh của các bạn học sinh của tôi ^^ .Cố gắng lên nhé các chàng trai ! Quê hương luôn trong tim mỗi chúng ta ..."
"hk289090","Mang sang đỡ cả sên mua đó a tiến 😂,Đội mũ cối sang Nhật ,đấy là hình ảnh của các bạn học sinh của tôi ^^ .Cố gắng lên nhé các chàng trai ! Quê hương luôn trong tim mỗi chúng ta ..."
"thanhtamaroki1","Em chờ mãi 🥺,Đội mũ cối sang Nhật ,đấy là hình ảnh của các bạn học sinh của tôi ^^ .Cố gắng lên nhé các chàng trai ! Quê hương luôn trong tim mỗi chúng ta ..."
"userw7vy52ai5h","người từng đi chia sẻ. đi rồi lại thất vọng nhiều. ôi đất nước nhật.,Đội mũ cối sang Nhật ,đấy là hình ảnh của các bạn học sinh của tôi ^^ .Cố gắng lên nhé các chàng trai ! Quê hương luôn trong tim mỗi chúng ta ..."
"datroon2k","chất,Đội mũ cối sang Nhật ,đấy là hình ảnh của các bạn học sinh của tôi ^^ .Cố gắng lên nhé các chàng trai ! Quê hương luôn trong tim mỗi chúng ta ..."
"linhcon1904","đội mũ gì cũng được miên là sang ấy sống cho văn minh,Đội mũ cối sang Nhật ,đấy là hình ảnh của các bạn học sinh của tôi ^^ .Cố gắng lên nhé các chàng trai ! Quê hương luôn trong tim mỗi chúng ta ..."
