clean_text,label_id
"địt mẹ , con chó_đẻ này , làm_ăn như con cặc . biến hộ cái .",1
mày bị thiểu_năng à ? nhìn phát ngứa_mắt vô cùng luôn .,1
"cút mẹ mày đi , đồ óc chó . đéo ai cần mày ở đây .",1
"thằng ngu vãi lồn , giải_thích mãi không hiểu , đúng vô_dụng .",1
"đúng cái loại ăn_bám , vô_dụng hết chỗ nói . cút đi .",1
"nhìn mặt_mày thấy ghét rồi , biến dùm cái đỡ chướng mắt .",1
"địt mẹ , cái lũ rẻ rách này chỉ biết phá_hoại thôi à ?",1
mày nghĩ mày ngon lắm hả con / thằng lol ? đừng mà múa rìu qua mắt thợ .,1
thế đéo nào mà loại như mày vẫn còn sống trên đời vậy ? rác_rưởi !,1
"cái thứ đạo_đức giả , nhìn phát muốn đấm vào mặt_mày . vô cùng luôn !",1
bố_mẹ mày đẻ ra mày để làm cảnh à ? ngu_xuẩn vô cùng luôn .,1
mày câm mồm không thì bảo ? đéo ai quan_tâm đến lời mày nói đâu .,1
"địt mẹ , đúng rác_rưởi xã_hội . sống phí oxy .",1
"ăn_nói như cái đống c * tao , biến đi khuất mắt tao .",1
"mày bị điên không vậy ? hãm lồn vô cùng luôn , làm_ơn im mồm đi .",1
"nhìn cái bản_mặt thấy ghét , đúng đồ vô_duyên không ai bằng .",1
"địt_mẹ mày , im mồm đi , nói nhiều quá rồi đấy . bố mày đéo muốn nghe .",1
"cái thằng / con l * nó này , làm_ơn biến mất khỏi trái_đất hộ cái . chướng mắt .",1
"mày tưởng mày ai mà lên_mặt dạy_đời ? đồ chó_má , cút đi .",1
"vô cùng luôn , đúng lũ óc như con cặc , chỉ được_cái sủa bậy trên mạng thôi .",1
địt mẹ cái loại con đĩ_điếm này chỉ giỏi giả_tạo thôi .,1
"thằng ngu nguyễn a nói mãi đéo hiểu gì , đúng óc chó .",1
"mày câm mồm đi , đồ vô_học . ai phép mày sủa ?",1
nhìn cái bản_mặt văn c tao muốn đấm vỡ mồm rồi .,1
"cái loại mày chỉ giỏi ăn_hại , làm cái lồn gì cũng hỏng .",1
"gớm_ghiếc vô cùng luôn , nhìn cái thứ rác_rưởi này tao phát nôn .",1
"đúng lũ ngu , mỗi việc này cũng đéo xong .",1
thích tỏ_vẻ nguy_hiểm à ? nhìn mặt_mày buồn_cười vl .,1
mấy con đĩ mặt lồn này chỉ giỏi cào phím chứ làm được cái đéo gì .,1
"thằng chó chết này đúng đồ không não , toàn nói_phét .",1
"địt mẹ mày cút mẹ đi xã_hội đỡ chật , đồ vô_dụng .",1
"cái loại mày thì chỉ xứng_đáng chui xuống cống thôi , bẩn_thỉu .",1
"nhìn cái mặt nguyễn a thấy muốn đấm rồi , ghê_tởm vl .",1
"mày câm mồm không , con chó ? sủa mãi đéo ngưng .",1
"vô cùng luôn , cái con này đúng đồ rẻ_tiền , nhìn thấy ghét .",1
"thằng văn c ngu hơn bò , làm đéo gì cũng gây_họa .",1
"mày cái thứ rác_rưởi , không hơn không kém , cút mẹ mày đi .",1
