"author","comment","title"
"n.cai_thao","Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭","Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"oang04321","cho mấy ông cali đứng ở chỗ thay mấy cái đê được không","Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"n.cai_thao","Dc nha, đông đảo thể này chắc là kín đê","Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"tuanhung0715","Hi vọng Hanni Newjeans sớm qua Việt Nam lưu diễn","Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"___1610g_","cần nhập sỉ cali về đắp quanh nhà cho đỡ lọt nc🥲","Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"ngocc_kkhanh","cali ra uống hết đi nha r cminh cùng vào dinh độc lập thăm quan","Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"n.cai_thao","Nhất trí","Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"ngocc_kkhanh","dạ","Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"tailanh.244","Nói nhỏ thôi ko nó lại lùa bây h","Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"n.cai_thao","Kkk, sợ gì bác ơi 🤣","Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"hawgf.p","cali trốn trong góc và niệm","Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
