trigram,count
cực kì thuyết,191
kì thuyết phục,184
cô minh hiếu,71
dễ thương quá,64
cực kỳ thuyết,53
kỳ thuyết phục,49
chu cà mo,48
nhà tiên tri,48
sống chậm thôi,43
ông trần dần,42
rất thuyết phục,34
chúc mừng năm,32
sống chậm lại,32
lớp du chu,31
đi du lịch,29
huyền khánh phùng,29
cua hoàng đế,28
ai lớp du,28
về việt nam,27
mừng năm mới,26
tiên tri vũ,26
tri vũ trụ,26
cô dễ thương,25
ba vàng ngọc,24
atm cao lãnh,24
đeo khẩu trang,23
du chu cà,23
linh cá lóc,22
xin video vs,21
lúc nào cũng,21
như thế nào,21
quá cô ơi,21
chậm thôi các,21
nhưng lại rất,20
làm từ thiện,20
chứ ko phải,20
rút kinh nghiệm,20
phục acc clone,19
nguyễn trọng hiệp,19
xin video với,19
chưa bao giờ,19
thuyết phục acc,19
acc clone nguyễn,19
vô sinh nhưng,18
trần dần nói,18
thầy giáo ba,18
chu cờ mo,18
diễn biến khác,17
vô lý nhưng,17
love you chu,17
thầy dấu bé,17
du chu cờ,17
thành thi xin,16
chúc mừng thầy,16
chứ không phải,16
du học sinh,16
lên fan cứng,16
dấu bé ba,16
học sinh úc,16
xin video ơi,15
như giọt nước,15
làm fan cứng,15
im mẹ mồm,15
tất cả các,15
cô nói chuyện,15
càng ngày càng,15
vô lí nhưng,15
chị minh hiếu,15
đi cách ly,15
trên thế giới,15
bác trần dần,14
mấy bài trước,14
đẹp trai quá,14
dân việt nam,14
hợp lí vl,14
nó lại hợp,14
yêu thầy dấu,14
nghe vẻ vô,14
mẹ mồm đi,13
để làm gì,13
hay sao mà,13
quá thầy ơi,13
phạm văn lộc,13
ai cũng biết,13
nhiều sức khỏe,13
chị ba vàng,13
acc clone trần,13
sinh nhưng lại,13
già mà non,13
đúng quy trình,12
đi đường quyền,12
sống nhanh lên,12
you chu cà,12
mộ dung phục,12
nhanh hơn não,12
nhà bao việc,12
nhà người ta,12
kiến cá nhân,12
chị đẹp quá,11
chết mẹ nó,11
