"name","comment"
"n.cai_thao","Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭,Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"oang04321","cho mấy ông cali đứng ở chỗ thay mấy cái đê được không,Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"n.cai_thao","Dc nha, đông đảo thể này chắc là kín đê,Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"tuanhung0715","Hi vọng Hanni Newjeans sớm qua Việt Nam lưu diễn,Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"___1610g_","cần nhập sỉ cali về đắp quanh nhà cho đỡ lọt nc🥲,Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"ngocc_kkhanh","cali ra uống hết đi nha r cminh cùng vào dinh độc lập thăm quan,Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"n.cai_thao","Nhất trí,Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"ngocc_kkhanh","dạ,Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"tailanh.244","Nói nhỏ thôi ko nó lại lùa bây h,Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"n.cai_thao","Kkk, sợ gì bác ơi 🤣,Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"hawgf.p","cali trốn trong góc và niệm,Cần triệu hồi gấp cali khát nước về VN uống hết nước để cho các tỉnh miền Bắc hết ngập 😭😭😭"
"gheiuwonyoung_","Nhắn vầy mà bảo không phân biệt vùng miền ?,Nhắn vầy mà bảo không phân biệt vùng miền ?"
"gheiuwonyoung_","Đối với tui thì người miền Tây phóng khoáng, hài hước, người miền Nam dễ thương, thân thiện, người miền Trung chịu khó, siêng năng, người miền Bắc giỏi, ham học hỏi. Mỗi miền mỗi kiểu người, có ưu điểm và cũng có khuyết điểm. Nên mọi người đừng đánh đồng cả một tập thể vì một cá nhân nha. Miền nào thì cũng là chung một nước Việt Nam cả mà.😭,Nhắn vầy mà bảo không phân biệt vùng miền ?"
"njz_.mylove","id tik nó cho ai cần: bonqieu_011,Nhắn vầy mà bảo không phân biệt vùng miền ?"
"108.smilodon","Bắc kỳ là chúa kỳ thị vùng miền, bắc kỳ tự cho là: - Giọng/ từ ngữ bắc là chuẩn, còn lại là giọng/ từ ngữ địa phương - Đồ ăn phải chuẩn bắc, món ăn tỉnh khác đều xuất xứ bắc - Bắc làm lãnh đạo có lý luận - Dân miền bắc xkld đem tiền đô về, dân Nam tham ăn nhậu nhẹt lười làm - Hài bắc thâm thúy, hài Nam nhảm - Miền bắc giữ gìn truyền thống, các vùng khác văn hóa đều phải giống bắc kỳ - bắc kỳ mặc định Nam Kỳ hoặc ai kiu bắc kỳ là 3que phản động - Dân bắc làm có để dành, dân Nam phung phí,Nhắn vầy mà bảo không phân biệt vùng miền ?"
"love_moscow_todeath","T người Bắc ở Nam nói tiếng Nam nè đụ má. Mệt tụi mày quá đm, Bắc Trung Nam ae 1 nhà,Nhắn vầy mà bảo không phân biệt vùng miền ?"
"petho.con","Miền Tây thì sao?? Thì sao??! T miền Tây nhưng mà t cũng ở thành phố mà, sao lại có ác cảm tới v😭,Nhắn vầy mà bảo không phân biệt vùng miền ?"
"adu_emyeu","Đa phần mấy đc tên bông hoặc chip khá hãm,Nhắn vầy mà bảo không phân biệt vùng miền ?"
"im_hungwy","Trời má! ĐỂ TUI KỂ CHO NGHE! Hồi bữa đi Grab, ông tài xế hỏi t ra Bắc chưa. T trả lời t mới đi Thanh Hoá về. Xong t hỏi ngược lại ổng “vậy chú có đi miền Tây chưa chú?!” thì ổng trả lời z nè: “đi rồi cháu ạ, cơ mà lúc vào đấy chú toàn ăn mì gói thôi”👁️👄👁️ “đồ trong đấy ngọt vãi, kh ăn được!” kiểu trl dễ thương ghê 🥰! Tưởng vậy là mình có duyên! Kh thích ứng đc, kh biết tôn trọng sự khác biệt và đa dạng trong khẩu vị của các vùng miền, thì đừng tự cho là mình sành ăn 🤣 Cảm ơn!,Nhắn vầy mà bảo không phân biệt vùng miền ?"
"yoichi1th4","Người Bắc hả bạn để acc “iem Bông” ấy?,Nhắn vầy mà bảo không phân biệt vùng miền ?"
"gheiuwonyoung_","Dạ,Nhắn vầy mà bảo không phân biệt vùng miền ?"
"ngtth_27","😢,Nhắn vầy mà bảo không phân biệt vùng miền ?"
"thaoknguyen1412","đcm thề ấy, nhà bố tao là miền tay sống ở nam, mẹ tao miền bắc. mỗi lần tao về quê ngoại là sẽ có thể loại, ô con 5 kí, miền Nam bọn mày có này k có kia k Miền Nam bọn mày k phát triển, miền Nam bọn mày này kia nch nghe khó chịu vãi :))) kiểu thế mình thì mình nói giọng bắc giọng nam đều được chứ kph về bắc lại nói giọng nam đâu. chả hiểu sao,Nhắn vầy mà bảo không phân biệt vùng miền ?"
"wxing.an","Bông này là Bông gì nhỉ,Nhắn vầy mà bảo không phân biệt vùng miền ?"
"mayuwn_9","phèn cc,Nhắn vầy mà bảo không phân biệt vùng miền ?"
"neyutie_noc","hay v chỵ,Nhắn vầy mà bảo không phân biệt vùng miền ?"
"_th.chmw","ôiiii bông há mồm ra mình đái cho tí nước nhá,Nhắn vầy mà bảo không phân biệt vùng miền ?"
"thodaoghe","Phân biệt vùng miền !,Phân biệt vùng miền !"
"nogame_nohow","‘Lãnh đạo phải là người Bắc, biết ní nuận.’ Trọng Lú trước khi đi thăm Boác Hù đã dặn thế! 😂😁😃,Phân biệt vùng miền !"
"justinn2607","Tại toàn lũ bợ đít Gia long với vện con thì đéo ai cho lên nổi 🤡,Phân biệt vùng miền !"
"truonhbinh","Bắc ky + Công Sản = C.hó,Phân biệt vùng miền !"
"sinhhoangkhuong","Người nam là loại người nào,Phân biệt vùng miền !"
