clean_text,label_id
người tiếng mặc cái lìn gì chẳng nó người . bình thường đẹp bảo điên,1
idol tui,0
": ) ông viện_trưởng khôn quá , nói dứt_khoát , quách tử_tù này đi có_lẽ vì_thế mà giờ lão vẫn còn sống",2
chi oi chi giau thi kê chi khoe cua lam gi,0
tây nó đơn_giản lắm . chết dân_chủ người sao vài . đâu vl mà .,2
không biet chính_quyền đang làm cái gì như vụ một thanh_niên ( thôi ) xông vào ngân_hàng cướp thì tới trăm cảnh_sát bao_vây chi vậy troi ô nao cug muốn ở phưởng cơ_quan ô nào muốn lò mặt ra ngoài để điều_tra đâu mà chắc cug phải cả tháng cả năm cảm_thấy xấu_hổ vs nhung khách du_lịch tới việt nam mình,2
huyền khánh phùng chuẩn luôn chị ơi hahaa,0
b52,0
cai nay dong nao mot chut,0
- cả 2 cũng chỉ thoii như nhau ngu khỏi so_sánh : ) ),2
cs chó bán_nước hại dân .,2
nó thích để nó ngon yêu cmm luôn chứ bắt mày đợi làm lồn gì . đợi chỉ nào lí_do mình nó tìm xem kèo hơn không thôi,1
còn đó bị bệnh kém,2
ai giết dk con linh cá_lóc tui ủng_hộ 10 usd,2
thằng già kia đứng cười chứ : (,2
mọi người đừng vội dùng từ toang .,0
đỉnh ghê 😀 😀,0
bà này bã chữi gớm giết thiẹt tôi không ngờ bã người miền tây luôn xấu_hổ,2
trường_hợp cai éo ji con này . dm nc éo logic con cặc ji bị cả cộng_đồng nó chửi sml cm may lun_nghiệp,2
cô quá trời đẹp rồi 💗,0
anh độ dễ như phò ấy : 3,2
"bảo_quản không đúng quy_trình , còn đi kiện họ . phạt thấy mẹ ra . thử_hỏi mua nước về , để khó nhiệt dô quá cao , độ_ẩm quá lớn thì hỏi chất_lượng nào chiệu nổi . "" thông_minh tý đi bà_con ơi """,2
"hien tran ngoc bich , hiep tranhoa xem bó_tay không nè trời .",1
quả donate đi vào huyền_thoại = ) ),0
đở dc ),1
thủ_tướng lương nghe bảo tầm 15 tr 1 tháng . . 10 căn nhà . . căn cấp 4 xây sơ xài ở quê giờ cũng 300 tr ít . 10 căn 3 tỷ đi . lương thủ_tướng 1 năm 180 tr . ông ta không xài gì đi vì nhà_xe . cơm_nước đảng lo . . vậy chắc phải làm thủ_tướng gần,2
tiền tao . phắc !,1
cũng đến lúc những người làm công_tác bảo_vệ an_ninh . các khu_phố cần vào_cuộc . vì hình_ảnh đất_nước không để mấy lưu_manh làm mặt được,2
"vừa đâu mà khóc_lóc , nước_mắt giả_tạo như nước_hoa vậy đó",1
chặt cuu,1
"da anh đen nhưng lòng anh trắng 😁 , anh đi phơi nắng nên da anh đen 😂",0
tại_sao lại đến mức_độ này ? chắc_hẳn ai cũng biết,0
"còn mày con cũng ngu lắm , đẻ con ra cẩn_thận đó",2
ờ,0
. tởm,1
phải cách_ly chứ đâu đi đi du_lịch 😉,1
cô ơi không_chừng cô ba vàng_ngọc giựt dây_trần đoàn đó cô . không_chừng cô lên tv bà vàng_mã tức nên thuê người chửi cô,0
"như con cặc ,",1
tao không thích không ưa mẹ này . mà dx cái chưit ngta nghe hài vô cùng luôn bù lại củng đỡ 😂 😂,2
trăm cần kí 1 cái bự cả chỉ tỉ mà bụng phải đi tù thì tội gì không làm một - a éo được biết,2
được cái hay_là xl 😆,1
"không hiểu mấy anh , mấy chị vào bảo sống chậm thôi chi_vậy ? ?",0
"hóng bò đỏ vào sủa "" đất_nước mình còn nghèo """,2
thịt chó đây này mấy bố ạ,0
năm sau đến 2 k2 rồi sau năm nữa 2 k3 rồi đến 2 k4 ờ tiếp_tục 2 k5 2 2 k7 đcm vailon : ) ),1
triết_lí một công đôi dm,1
em nói anh ở nhà hưng khánh . hông cod đi đâu hết .,0
cũng có_lý,0
phạm văn đại đjs : vậy,2
thầy ba said :,0
