name,comment
nguyenxiu02,"nhiều cty ở trong dồng nai không nhận người ở tỉnh Nghệ An Hà Tĩnh Thanh Hóa,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz"
dng.sad4,"nghệ an vốn là nơi đất hc, h chặn luôn ước mơ của hs du hc:(,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz"
user4638155082236,"Xưa thời cty nó không dám nhận nghệ an thanh hoá lun , miền nam,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz"
toeic_15ngay,"luôn tự hào về người Quảng Bình 🥰,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz"
ngc.lan.nguyn924,"Ê nha ê nha ê nha🥺,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz"
hahahhaahh01,"doraemon nói lắm,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz"
ththuwvv,"Luôn tự hào là ng Hà Tĩnh,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz"
nguyen2k123456,"Tôi nghệ an 😄😎😭😭,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz"
bonletufamily,"tại sao vậy,Nghệ An là nơi Bác Hồ sinh ra mà,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz"
nguyendjnhphat,"ng tỉnh khác đc như na chx nà,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz"
minh.ngoc.nguyn44,"ô ô tui hà tĩnh,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz"
nanhvocunglao,"cho t hỏi xem có bạn nào nhà ko được khá giả đi du học mà không làm ngoài ko….,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz"
cng.o96,"Thanh Hóa thì ai muốn sát nhập 😌,Thanh Hóa, Nghê An, Hà Tĩnh, Huế dự kiến sẽ ko sáp nhập"
zaihocao_91,"Huế tỉnh mà.lên tp bjo vậy,Thanh Hóa, Nghê An, Hà Tĩnh, Huế dự kiến sẽ ko sáp nhập"
quanglamctm,"Không nhập thằng Hà Tĩnh một nữa nghệ an một nữa Quảng bình cho nó có sân bay,Thanh Hóa, Nghê An, Hà Tĩnh, Huế dự kiến sẽ ko sáp nhập"
hieu9398,"Toàn mấy nơi ko ai muốn gộp vào 😂,Thanh Hóa, Nghê An, Hà Tĩnh, Huế dự kiến sẽ ko sáp nhập"
sio.tran,"TH,NA,HT...Nghe là sợ rồi 😁😁😁,Thanh Hóa, Nghê An, Hà Tĩnh, Huế dự kiến sẽ ko sáp nhập"
credocredo27,"T thích nhập lại thành Nghệ Tĩnh như khi tê, tự nhiên chia cách ae choa mci nạ,Thanh Hóa, Nghê An, Hà Tĩnh, Huế dự kiến sẽ ko sáp nhập"
