"author","comment","title"
"biotamtran","Hài hước Nhiều người chê hạ tầng, cơ sở, an sinh xã hội ở VN kém nhưng họ luôn tìm cách trốn thuế, né thuế ... Lý do là sợ ""Tham Nhũng"" Vậy họ khác gì những người tham nhũng ngoài kia","Hài hước Nhiều người chê hạ tầng, cơ sở, an sinh xã hội ở VN kém nhưng họ luôn tìm cách trốn thuế, né thuế ... Lý do là sợ ""Tham Nhũng"" Vậy họ khác gì những người tham nhũng ngoài kia"
"nobody_8_10","Có bằng chứng hay thống kê nào chứng minh những người chê cơ sở hạ tầng VN và những người trốn thuế là 1 không bạn :))","Hài hước Nhiều người chê hạ tầng, cơ sở, an sinh xã hội ở VN kém nhưng họ luôn tìm cách trốn thuế, né thuế ... Lý do là sợ ""Tham Nhũng"" Vậy họ khác gì những người tham nhũng ngoài kia"
"xuanhung3318","Ko có bằng chứng ko có nghĩa nó không tồn tại? Vậy tôi hỏi ngược bạn nhé bạn có chắc chắn không 1 ai có tư tưởng như vậy ko =)))","Hài hước Nhiều người chê hạ tầng, cơ sở, an sinh xã hội ở VN kém nhưng họ luôn tìm cách trốn thuế, né thuế ... Lý do là sợ ""Tham Nhũng"" Vậy họ khác gì những người tham nhũng ngoài kia"
"nobody_8_10","Mình nói “không tồn tại” và “chắc chắn không một ai” chỗ nào vậy bạn :)) bịa à","Hài hước Nhiều người chê hạ tầng, cơ sở, an sinh xã hội ở VN kém nhưng họ luôn tìm cách trốn thuế, né thuế ... Lý do là sợ ""Tham Nhũng"" Vậy họ khác gì những người tham nhũng ngoài kia"
"xuanhung3318","Thì tức là nó có tồn tại vậy thì có nhất thiết cần bằng chứng như bạn nói ban đầu không","Hài hước Nhiều người chê hạ tầng, cơ sở, an sinh xã hội ở VN kém nhưng họ luôn tìm cách trốn thuế, né thuế ... Lý do là sợ ""Tham Nhũng"" Vậy họ khác gì những người tham nhũng ngoài kia"
"quentin.express","Đến cái tối thiểu là vỉa hè cho người đi bộ còn không có, nhưng mở miệng ra lên tiếng là bọn nó dời hộ khẩu qua Cali liền vì như vậy là đang chê Tổ quốc","Hài hước Nhiều người chê hạ tầng, cơ sở, an sinh xã hội ở VN kém nhưng họ luôn tìm cách trốn thuế, né thuế ... Lý do là sợ ""Tham Nhũng"" Vậy họ khác gì những người tham nhũng ngoài kia"
"thedarknight9604","Thật ra người giàu mới tìm cách trốn thuế, chứ người 1 đầu lương như đa số bọn mình đây thì bạn trốn kiểu gì? 1 là bạn ko bị đánh thuế thu nhập vì lương bạn thấp, nhưng vẫn chịu thuế tiêu dùng 2 là lương bạn cao, nhưng bạn đi làm cty thì bạn muốn né thuế cũng ko được Nên cái chữ “nhiều người” ở đây chắc bạn ko ám chỉ người làm công ăn 1 đầu lương giống chúng ta phải k 🤣","Hài hước Nhiều người chê hạ tầng, cơ sở, an sinh xã hội ở VN kém nhưng họ luôn tìm cách trốn thuế, né thuế ... Lý do là sợ ""Tham Nhũng"" Vậy họ khác gì những người tham nhũng ngoài kia"
"nguyentttam88","Lương cơ bản quá thấp so với nhu cầu chi tiêu tối thiểu thì đào đâu ra thuế mà thu","Hài hước Nhiều người chê hạ tầng, cơ sở, an sinh xã hội ở VN kém nhưng họ luôn tìm cách trốn thuế, né thuế ... Lý do là sợ ""Tham Nhũng"" Vậy họ khác gì những người tham nhũng ngoài kia"
"ngocquy92","Sao bạn lương thấp vậy?? Là do nhà nước hay do bản thân bạn??? Xong rồi than trách","Hài hước Nhiều người chê hạ tầng, cơ sở, an sinh xã hội ở VN kém nhưng họ luôn tìm cách trốn thuế, né thuế ... Lý do là sợ ""Tham Nhũng"" Vậy họ khác gì những người tham nhũng ngoài kia"
"thieugiataichinh","Dân VN mà, nói một đường làm một nẻo, nó là tính cách dân tộc chứ có gì bất ngờ, hài hước.","Hài hước Nhiều người chê hạ tầng, cơ sở, an sinh xã hội ở VN kém nhưng họ luôn tìm cách trốn thuế, né thuế ... Lý do là sợ ""Tham Nhũng"" Vậy họ khác gì những người tham nhũng ngoài kia"
"sphin1210","Dốt","Hài hước Nhiều người chê hạ tầng, cơ sở, an sinh xã hội ở VN kém nhưng họ luôn tìm cách trốn thuế, né thuế ... Lý do là sợ ""Tham Nhũng"" Vậy họ khác gì những người tham nhũng ngoài kia"
