bigram,count
thuyết phục,338
việt nam,328
người ta,238
cực kì,231
trần dần,208
kì thuyết,193
acc clone,172
mọi người,172
minh hiếu,163
làm gì,160
dễ thương,148
nói chuyện,145
fan cứng,137
anh em,136
như vậy,134
đẹp trai,119
thầy ơi,117
xin video,116
tiên tri,115
nào cũng,113
anh ơi,112
anh độ,112
sống chậm,111
bây giờ,110
cách ly,106
chúng nó,105
nhà nước,105
ủng hộ,102
đất nước,102
bao giờ,99
chúc mừng,98
thế nào,98
như thế,97
thế giới,96
không biết,92
gì mà,91
ông già,91
thật sự,91
cảm ơn,90
đâu mà,90
chúng ta,87
ko biết,87
tất cả,86
chị ba,84
giáo án,83
người khác,82
xin lỗi,82
học sinh,82
con người,81
hôm nay,81
hay quá,81
ai cũng,81
bao nhiêu,79
thực sự,79
anh ba,79
mấy thằng,78
không phải,78
thương quá,77
công an,77
tộc trưởng,75
thầy ba,74
hợp lý,74
cô minh,74
quảng cáo,73
mấy đứa,73
các ông,73
gì cũng,72
cực kỳ,72
nhưng lại,72
gia đình,70
khi nào,70
con chó,69
lãnh đạo,68
nói gì,68
người dân,67
tự nhiên,67
chúng mày,67
nước ngoài,66
mấy ông,66
nói đúng,65
ko phải,65
thời gian,65
năm mới,64
vui vẻ,63
tấu hài,63
xã hội,62
con gái,62
hay lắm,62
chậm thôi,61
như con,61
làm sao,60
vậy mà,60
cao bằng,60
tham nhũng,60
cố lên,59
mà ko,59
các bác,59
rồi mà,59
cố gắng,58
bình thường,58
