clean_text,label_name_true,label_name_pred
coin card : 3,Clean,Hate
cái gì thế : ) ),Clean,Offensive
"lý khùng thì , kk",Hate,Offensive
à thì ra người nhật cũng chẳng hợn võ hồng_tâm,Clean,Offensive
được đấy abe,Clean,Hate
"đề_nghị 17 , 22,23,32 đến phà vài hơi vào mẹt tk này để nó đi cách_ly thế_giới hẳn đi .",Clean,Hate
alex dương thiệt luôn 😤,Clean,Hate
"không nói thì tự_kiêu , nói thì lại tự_ái chứ í thức thế ai mà chịu nổi 😡",Clean,Hate
chán thực_sự = ),Offensive,Hate
hanh viet hết cái bọn cực_kì thuyết_phục bây_giờ lại đến bọn : “ ở nhà giúp mẹ giúp cha . “ xàm lol như nhau cả thôi,Hate,Clean
sói said : “ daddy finger where are you ? ” “ here i am ! “ = ) ),Clean,Hate
buồn_cười,Offensive,Clean
ai hiểu lắm anh dạ nói em nghe em nói với người đó giùm,Clean,Hate
"chi bà nhiều tiền thì đi làm từ_thiện , còn ơ đó nói_tục tiểu , giơ bẩn . làm_nhục người vn trên thế_giới . làm bai hoại nền văn_hóa vn . xin yêu các cấp thẩm_quyền vào_cuộc sử lý .",Clean,Offensive
éo thích thì biến đi thọc con mắt chóng cái tai lên xem làm ghì,Offensive,Hate
hữu nghĩa cánh hoa : >,Clean,Hate
cây_bút đẹp vl,Clean,Hate
trước_sau gì cũng đi theo phúc xạo lol,Clean,Offensive
nặc na tao cũng không bình thường nữa 😁,Offensive,Hate
đọc rất diễn_cảm 10 điểm về chỗ,Clean,Hate
bán hàng rẻ không thơm lâu thì nói không thơm lâu . nói hàng fake . mắc gì quảng_bá làm như tốt lắm .,Clean,Offensive
cực_kỳ thuyết_phục 🙂,Clean,Hate
nhìn mặt bà này .,Clean,Hate
chửi đáo_để thật !,Clean,Hate
đệ anh độ toàn sống về đêm,Offensive,Clean
minh hoàng nuôi cá trồng rau rồi ai live xem 😂 😂,Offensive,Hate
sống chậm thôi !,Clean,Hate
"với những trường_hợp trốn cách_ly cứ phạt tù nặng mới sợ , đùa sức_khoẻ bản_thân rồi chẳng may lây_lan ra ngoài lúc đó xin_lỗi cũng chả ai chấp_nhận đâu",Clean,Offensive
lờ ô lờ ôn lờ ôn lôn huyền chim : ) ),Offensive,Hate
con bóng ? ?,Offensive,Hate
"mình đừng nói xạo nói_láo nv chị không thích z , vì chị chúa nói xạo rồi",Offensive,Clean
trai hay gái ?,Hate,Clean
bàn_tay em đẹp quá . nhìn chị đàn_bà mà xấu quá . .,Clean,Hate
"nó học cách thằng anh nó đó , hèn , khốn_nạn",Clean,Hate
cái mặt con bò biểu_cảm_vãi haha . đhs tự_nhiên thèm thịt bò khô,Clean,Offensive
cô nói_chuyện cưng quá à,Hate,Clean
giờ nhìn sang quá .,Clean,Offensive
like 10 năm chất liek bằng đầu bùi,Clean,Hate
giờ linda chững_chạc hơn hồi trước rồi . 😍,Clean,Hate
không csgt nào tốt cả .,Hate,Clean
như lol anh ba,Offensive,Clean
việt nam_vô_địch . ( tối_ngày 10 / 12 / 2019 ) cầu bến_thủy - vinh na,Clean,Hate
kim thoa lưu mốt gặp nhau thay_vì bắt_tay ôm nhau thì tao sẽ tạo_hình cánh hoa tặng mày : ),Clean,Offensive
ủa tao người tương_lai à 🙂,Clean,Offensive
cà_khịa anh tôi nhanh : vậy,Hate,Clean
hình_ảnh quốc_gia . . vn thì không cần quảng_bá rồi .,Clean,Hate
"con bóng đực kia cũng dạng đầu trâu mặt ngựa , 2 mặt , nịnh_bợ .",Clean,Offensive
trần sang ổ con cặc,Clean,Offensive
đọc xuyên câu không suy_nghĩ thử xem . . rất ngộ_nghĩnh 😳 💕,Clean,Hate
tết vẫn ngon mặc_dù không thịt hợn,Clean,Hate
họ nhìn con này sao họ mới gọi nói như vậy người không giá_trị,Clean,Hate
hời đất cơi cô đẹp quá cô ơi,Offensive,Hate
không nghìn nào giúp dân thì nín đi !,Clean,Offensive
"dân không giàu nhé , chỉ nó nước mạnh thôi .",Clean,Hate
cô ba dẹp gái qua ha 🤩 🥰,Offensive,Hate
muốn đẻ đứa như tùng sói vậy á 😆 ❤ ❤,Offensive,Hate
hâhhaahhaah,Clean,Offensive
mvp việt nam đấy : ) ),Offensive,Clean
đêm đói ngồi xem anh độ ăn mà cồn_cào hết bụng : (,Clean,Hate
thiên_anh,Clean,Hate
nguc em hoi nho,Clean,Hate
nguyễn thị linh_chi văn thắng về đi 2 bạn : ) ),Clean,Hate
cám_ơn thầy ạ,Offensive,Clean
"anh tiệp chất quá khác hẳn lúc viện , hơi xập xệ : )",Hate,Clean
ai đó trả_lời vs tao đây e gái thầy ak ?,Clean,Offensive
kinh đấy,Offensive,Clean
mày à tao không còn ngon ngữ nào mà chửi mày nữa,Clean,Hate
nghệ_sỹ hài hải ngoại được nhiều bạn trẻ nước mếm mộ nhất,Hate,Offensive
rãnh đít đây .,Hate,Clean
anh nguyễn khóc 8 chục dòng sông 😭 😭,Clean,Offensive
cái mỏ i chang cá_lóc lun,Clean,Hate
rất ủng_hộ page nhật_ký yêu nước . .,Clean,Hate
"em sẽ hay học hơn nếu lớp những bạn nam khoẻ , dai_sức , . : 3",Offensive,Clean
a độ dạo này đăng miết thế 😅,Clean,Hate
không live hả anh : ( (,Clean,Hate
thèm bún real vl : ) ),Clean,Hate
@ lucky lucky sao bạn bình thường bạn nghe mik ns coi,Clean,Hate
chụp cái góc từ chân lên phải hơn không 😞,Offensive,Hate
khổ nông_dân quá .,Hate,Clean
"ở minh bi được vao vien khám , con ở bọn nc thấy bao_la phat triẻn thi ve_nha tự cách_ly",Clean,Offensive
thích quảng_cáo không : ),Clean,Hate
ae kiếp này không kiếp sau ae ạ,Clean,Offensive
nơi nào mà cũng được như thế thì có_lý_do gì mà con đân việt nam phải sang nước_ngoài sống .,Hate,Offensive
cô người miền tây hả cô,Clean,Hate
qua học_trình_độ chặt cây mà không bị dân chửi trung quốc .,Clean,Hate
"chống mũi bao , nhiêu vậy",Clean,Hate
"khánh hồng nguyễn thiều my nguyễn hà duy đăng \ "" đợi đấy \ "" : )",Clean,Offensive
"mn tải ứng_dụng kiếm thẻ đt nạp nè . ngày ít cũng được 2 cái card 20k đấy . link tải chplay nên không sợ virus , tôi chăm online nên ngày nào cũng được cái card 50k ít . cài xong vào mn nhập mã chia_sẻ nhận điểm",Offensive,Hate
tuan tran quoc có_thể chứ . vn mad,Clean,Hate
đúng chửi,Clean,Hate
chán_thế,Clean,Offensive
! : 3,Clean,Offensive
dan ha loi ngon roi .,Clean,Hate
"cs miệng đít chúng một chỗ . một chế_độ thổ_tả không còn sửa_sai được nữa , mà phải thay_đổi với một chế_độ khác . sống với cs mà không biết gì về thủ_đoạn bọn chúng không cái đầu .",Clean,Hate
làm đồ vỡ tí cũng up fb sen làm lố quá nha_h,Clean,Offensive
ok anh ơi,Clean,Hate
minh hiếu nói chốt đơn chốt đơn do cj minh hiếu nói phong long mà chứ đâu nói cj trần đoàn đâu ? ?,Offensive,Clean
thầy bình_luận thêm điệu cười đáng yêu thầy nữa vào : ) ),Offensive,Hate
thầy tao đó,Hate,Clean
mình không đồng í vs bạn trung,Clean,Hate
éc nghe nói ai tiếp_xúc với 2 người tây đều cách_ly mak . sao giờ lộ ra nv siêu_thị điện_máy xanh vậy trời . lơ_là rồi 🙈,Hate,Clean
ae thất_lạc abe ak,Clean,Offensive
co tien dug nen khoe nha_ma co ngay troi không do dau co ngay_di_an majk nha_má,Offensive,Hate
ai theo đạo râu xồm thì giơ tay ? hãy theo minh giáo_chủ sẽ được lên thiên_đường xhcn !,Hate,Offensive
chi de thương,Hate,Clean
"ae thấy hay thì xin 1 đăng_ký kênh ạ , cảm_ơn",Clean,Offensive
vẫn không chừa được những lời_nói thô_tục,Clean,Hate
cái áo sọc mặc hoài vậy thầy,Clean,Offensive
huy quang ghê nhờ 🙂,Clean,Offensive
dân lo mà sợ gì chơi tới đi mấy bác,Clean,Offensive
co . hieu . oi . hoang . canh . con . kho . khan . qua . co . oi . giup . con . voi . co . oi . con . noi . thuc . su . la . nha . con . khong . co . gao . an . luon . do . co . oi . con . noi . thiet . la . nha . con . khong . biet . chung . nao . xap . nua . do . co . co . long . hao . tam . co . giup . con . voi . co . oi . co . hieu . oi . sdt . cua . con . ne . co . oi . 0369546059 . do . co . con . o . ap3xatanhoitrunghuyencaolanhtinhdongthap . do . co . con . noi . thiet . do . co . oi . giup . gium . con . voi . con . kho . wa . co . oi,Clean,Hate
tủnn tủnn đú vô cùng luôn = ) ),Hate,Offensive
from mixi with love ❤ ️,Clean,Hate
anh yêu em thắm ơi,Clean,Hate
ca_sĩ cây atm,Hate,Clean
cái miệng rộng qua đẻ con ra còn lọt,Hate,Clean
"chị_em nào “ đến tháng ” mà đau bụng dữ_dội , đau trời long đất lở , đau héo_mòn thân_xác . ib em để hết đau mãi_mãi luôn nhé . 💕 💕",Hate,Offensive
nguyễnn giangg yep,Clean,Hate
"ý_thức người văn_minh khác , cao chót_vót đéo với nổi .",Offensive,Clean
lại bảo sai đi : ) ),Clean,Offensive
túm lại : muốn giết người mà vẫn vô_tội hoặc án gãi ghẻ thì phấn_đấu làm cán_bộ đi .,Hate,Clean
. trung dần,Hate,Clean
quang hung vu bên đấy bảo cách_ly tại nhà bệnh tự khỏi = ),Hate,Offensive
nghe cực_kì thuyết_phục : ) ),Offensive,Hate
chuẩn cmnl anh ơi,Clean,Offensive
phát thịnh thầy tui như thằng xì_ke .,Offensive,Clean
gai tre,Clean,Offensive
"nam đặng đời nó thế , lồn mẹ dell thấy cái lồn gì vui cả",Hate,Clean
ẩu r thầy ơi,Clean,Offensive
may bede ma rau thay on,Offensive,Hate
mis nhung,Clean,Hate
ok thầy nhoa ❤,Clean,Hate
chửi hay ghê_k,Clean,Hate
tin tin nên về làm taxi nhe đồng_chí .,Clean,Offensive
danh_hài abe,Clean,Hate
thấy thầy ăn_nói lịch_sự như này em không quen lắm 😑 😑,Hate,Offensive
mình nói người_ta bê đê mình xem lai mình đi . mày la cũng loai bê đê co cây đinh chính giữ la may không,Clean,Hate
abe chơi dơ,Clean,Offensive
"duy nguyen ảnh này mặt rữ quá 😌 , cười cà_khịa ms vui",Clean,Hate
chí bảo tên tôi ông eii cảm_giác như mình tội đồ haha,Clean,Hate
câu_chuyện dài,Hate,Clean
hà boo diễn hôm 4 - 5 / 1 chị ạ . từ sau không đi_nữa .,Clean,Hate
lê quỳnh anh mỗi nước 1 quan_điểm sống . chê bọn tây làm gì haha .,Offensive,Hate
hoang pham cưới vợ đi,Clean,Hate
"thật_sự trận hôm_nay team không làm fan hâm_mộ cảm_thấy dễ_chịu một_chút nào cả nhưng em vẫn đặt niềm tin vào đây nhé , nhận cọc thì mai phải cố hết_sức nhé 😊",Clean,Hate
nguyễn việt hehehe !,Clean,Hate
vụ linda thì sao vậy thầy,Clean,Hate
❤ ️ refund ❤ ️,Offensive,Clean
nhà em hộ nghèo được ưu_tiên không ạ 😞,Offensive,Clean
chị minh hiếu dễ_thương quá trời,Offensive,Hate
cẩn_thận con thắm nó chưi : ),Clean,Hate
hỏi xem mấy trận này ở đâu vậy ae ?,Clean,Offensive
lê nhật trâm đi máy_bay riêng đó hả,Offensive,Clean
mấy đứa antifan lại bảo anh tao ghép ảnh đi 😌,Clean,Offensive
tiên_tri trần dần về việt nam ở nghĩa_trang bình_an,Hate,Clean
lặng,Clean,Hate
tr thanh tùngg gái ở đâu ra cơ,Offensive,Hate
tối nay sờ trim không anh độ,Clean,Hate
mới vào nghe bã chửi banh nhà_lồng chợ luôn vãi thật,Hate,Clean
gian hồ đài loan đầu sao mà kg lên tiến,Hate,Offensive
không_khí đạt chất_lượng như hôm_nay cũng nhờ sự tài_tình đảng ta ! đó mang những nhà_máy nhiệt_điện than cổ lổ sỉ từ người anh_em phương bắc về phục_vụ bà_con ! bà_con cám_ơn đảng nhà_nước chưa ?,Offensive,Clean
cực_kì thuyết_phục : 33,Clean,Offensive
xd,Clean,Offensive
cái này tao đéo đồng_ý,Clean,Hate
"tao phải qua phản_đối bọn ba_que indo nha , bác tao nhìn đẹp chai đoản hậu , lộn phúc_hậu_thế kia mà nó quất cặp môi như hai miếng thịt trâu làm thao",Hate,Offensive
chắc do đi đái quên chưa kéo quần ngoài vội quá nên kệ mẹ thế đi ra 😞,Offensive,Clean
khẩu_hiệu tuyệt_vời,Clean,Offensive
thôi đi cô cô xem hết mấy bài đăng trang này đi xem cô hùng_biện nũa hôn đảng cô đấy = ) hẹn mỹ,Clean,Hate
ae ăn tết đây ạ,Clean,Offensive
lo mà phụ mẹ giúp cha cực_kì thuyết_phục mả cha chúng_mày,Offensive,Clean
quốc_sư phải khỏe để lãnh_đạo 3 / chứ không thì 3 / biết đi đâu về đâu 😭 😭,Clean,Offensive
from thanh hoá with love . chúc bộ_tộc nghỉ lễ vv,Clean,Offensive
nể nhà_báo hoàng lân nhịn cười hay vãi . tao cười ngoác mồm . hay hơn game show nhìu,Hate,Clean
hay quá thầy ơi : ) ),Clean,Offensive
yêu xa khiến chúng_ta trưởng_thành hơn . . ! : ),Clean,Offensive
nhờ thầy mà giáo_án susan vẫn được tuyên_truyền rộng_rãi khắp cả nước 🤣 🤣,Clean,Hate
khoa ta bên hàn 1 người lây biết bn người kìa bn 10 người gì,Clean,Offensive
"á há há , army không ai giành giải best reaction mấy mẻ đâu mà la dữ = )",Clean,Offensive
khoai thị sắn,Clean,Hate
nguyễn nương ngà trần cuối tuần này ta chụp hình không,Clean,Offensive
ông nay giám vê vn không,Clean,Offensive
nguyễn thanh cẩm de bi ia chay lam,Offensive,Clean
tsb 💩,Clean,Hate
hài_lòng tao ghê : ),Clean,Offensive
đổi màu từ đỏ đậm thành nhạt hơn vì sương_gió ! nói đúng đấy chứ,Clean,Hate
thưa nhà tiên_tri biết khi nào việt_nam sẽ xóa sổ trung quốc_vậy ?,Hate,Clean
nhờ thầy mà em cảm_thấy mình không phải đứa chơi ngu nhất liên_minh,Hate,Offensive
troi ui con nay do lai_cai,Clean,Hate
doi song nay chet mai . can that voi loi noi se tot hon . ji hay ngheo tu minh bình thường khoe lay ji c d c oi,Clean,Hate
đỗ tài việt_kiều thích món thịt chó này không ? không,Offensive,Hate
lêu lêu mấy đứa fa 😂,Clean,Offensive
dạo này a lọt top show chart chỉ sau 20 du_khách hàn quốc thôi đấy . chúc_mừng a,Hate,Clean
ng hàn quốc sống thật lòng tốt mà tốt chưa thấy .,Clean,Hate
hoàng quốc hoàviết trung bữa_nay toàn thứ chi chi mô không ri !,Hate,Clean
h có_lẽ quá muộn_màng,Offensive,Hate
"cô mày . hiếu nói hòi nhỏ do nhà nghèo cô phải bỏ học bươn_chải đi hát lô_tô các thứ 😥 vậy nếu mẹ cô 100 cây vàng , thế sao phải để cô cực như_vậy ? ( tại không biết cô nói_chơi hay nói thiệt ) 😄",Offensive,Hate
mv khá chất_lượng,Clean,Hate
điên qf :,Clean,Hate
cái vấn_đề mà tấc nhiêng mà .,Clean,Hate
"bữa chưa xin dc tài_trợ từ liên_quan , h xin dc nên làm típ chăn 😌 🙄",Offensive,Hate
đi đường quyền hông,Clean,Hate
chuẩn_bị đóng thuế_oxy thôi mọi người : ),Clean,Hate
tiền đó công_khai ! ?,Clean,Hate
"hieu nguyen họ bùi ăn hết ông nội mày hả , đụ_mẹ mày lôi vào nói_chung_chung ý_thức mày cũng như con cặc",Clean,Offensive
? : d ?,Clean,Offensive
khổ thật_sự : ( (,Offensive,Hate
cà_khịa cực mạnh 🤣,Hate,Clean
mày nghỉ luôn cũng được . phát_ngôn tào_lao fan nó unfollow hết bây_giờ,Clean,Hate
"đục not "" đụt "" : 3",Offensive,Clean
huyền vy dẹp mẹ đi,Clean,Hate
phan văn_chương hôi lông cái hình đi đâu cũng đăng,Clean,Hate
