name,comment,label_id
nguyenxiu02,"nhiều cty ở trong dồng nai không nhận người ở tỉnh Nghệ An Hà Tĩnh Thanh Hóa,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz",0
dng.sad4,"nghệ an vốn là nơi đất hc, h chặn luôn ước mơ của hs du hc:(,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz",0
user4638155082236,"Xưa thời cty nó không dám nhận nghệ an thanh hoá lun , miền nam,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz",0
toeic_15ngay,"luôn tự hào về người Quảng Bình 🥰,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz",0
ngc.lan.nguyn924,"Ê nha ê nha ê nha🥺,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz",0
hahahhaahh01,"doraemon nói lắm,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz",0
ththuwvv,"Luôn tự hào là ng Hà Tĩnh,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz",0
nguyen2k123456,"Tôi nghệ an 😄😎😭😭,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz",0
bonletufamily,"tại sao vậy,Nghệ An là nơi Bác Hồ sinh ra mà,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz",0
nguyendjnhphat,"ng tỉnh khác đc như na chx nà,ĐỪNG CHỬI NGƯỜI NGHỆ AN, HÃ TĨNH, QUẢNG BÌNH KHI XEM VIDEO NÀY #duhocsinhuc #nghean #hatinh #quangbinh #tinnong #bocphot #nhathaibiettuot #dramashowbiz",0
